id;sentiment;text_tweet;text_clean
73;negative;#Boikot<PROVIDER_NAME> bentuk tekanan masyarakat agar perusahaan publik sekelas <PROVIDER_NAME> lebih berhati-hati ke depannya… <URL>;bentuk tekan masyarakat usaha publik kelas berhatihati depan
74;negative;<USER_MENTION> <USER_MENTION> <PROVIDER_NAME> Alhamdulillah saya gak pakai <PROVIDER_NAME> dari dulu #Boikot<PROVIDER_NAME> ;alhamdulillah pakai
75;positive;Saya dulu memimpikan pakai <PROVIDER_NAME>.  Tapi sekarang gak mimpi lagi.  Setia saja sama <PROVIDER_NAME> walau mahal sedikit. Ikutan #Boikot<PROVIDER_NAME>;mimpi pakai mimpi setia mahal ikut
76;positive;jauh sebelum ada aksi #Boikot<PROVIDER_NAME> saya tidak pakai <PROVIDER_NAME> lagi,  sebab <PROVIDER_NAME> masih lebih bagus maaf bukan iklan tapi kenyataan;aksi pakai bagus maaf iklan nyata
77;positive;<PROVIDER_NAME> yang terbaik ini peserta nya… <URL>;baik serta
78;positive;RT <USER_MENTION>: Teman sehari hari. #<PROVIDER_NAME> <PROVIDER_NAME> #<PROVIDER_NAME> #telecommunications… <URL>;teman hari
79;negative;<PROVIDER_NAME> jelek banget sinyalnya <PROVIDER_NAME>;jelek banget sinyal
80;positive;Saya bisa ke Sydney karena program <PROVIDER_NAME> & itu GRATIS! ada 22 Mahasiswa. Belajar dn liburan, kalian para hacker intropeksi sana;sydney program gratis mahasiswa ajar libur hacker intropeksi
81;negative;Internet mahal turunkan harga paket <PROVIDER_NAME> ;internet mahal turun harga paket
82;positive;Selalu pakai <PROVIDER_NAME> belum pernah pakai <PROVIDER_NAME> dan merasakan <PROVIDER_NAME>lemot Meski <PROVIDER_NAME>mahal tapi dibarengi dengan kualitas;pakai pakai rasa lot mahal bareng kualitas
83;negative;Webnya <PROVIDER_NAME> dibajak ya?  Cie dibajak. Semoga habis ini paket2, spam2 dan promo2nya makin subur.  <PROVIDER_NAME>;webnya bajak bajak moga habis paket spam promonya subur
84;positive;CS <PROVIDER_NAME> <PROVIDER_NAME> emang paling fast response sama keluhan konsumen. Beda dengan operator sebelah! #opinipenjualpulsa;emang fast response keluh konsumen beda operator belah
85;positive;Ini prinsip soalnya <PROVIDER_NAME> lebih murah dari <PROVIDER_NAME>, masalah sinyal disini Alhamdulillah kencang karena di kota besar kok;prinsip murah sinyal alhamdulillah kencang kota
86;positive;Terbaik Buat <PROVIDER_NAME> <PROVIDER_NAME>;baik
87;positive;Kembali ke paketan <PROVIDER_NAME> <PROVIDER_NAME>;paket
88;positive;<PROVIDER_NAME> Mantap di Sumedang <PROVIDER_NAME> ;mantap sumedang
89;negative;<PROVIDER_NAME> semakin kesini semakin mahal, jaringannya 4G tapi lelet, pesan masukku penuh isinya pesan promo yang nyedot pulsa semua <PROVIDER_NAME>;kesini mahal jaring lelet pesan masuk penuh isi pesan promo nyedot pulsa
90;negative;Tolong dong kensinya di benerin di wilayah keramat jati. Kenapa lemot !!!! <PROVIDER_NAME> <PRODUCT_NAME> <PROVIDER_NAME>;tolong kensinya benerin wilayah keramat jati lot
91;negative;Sinyal kami paling kuat KATANYA. internetku di jakarta lemot parah, 3g aja gak dapat. makin hari makin jadi ini provider <PROVIDER_NAME> <PROVIDER_NAME>;sinyal kuat internetku jakarta lot parah provider
92;negative;Keamanan <PROVIDER_NAME> dong yang harus ditingkatkan! Bikin rugi pelanggan aja..!! <URL>;aman tingkat bikin rugi langgan
93;negative;harga jual & jumlah per rupiah dari kilobyte internet... memang <PROVIDER_NAME> juara mahalnya sih tsel vs <PROVIDER_NAME> <PROVIDER_NAME> ;harga jual rupiah kilobyte internet juara mahal tsel
94;negative;<PROVIDER_NAME> <PROVIDER_NAME> kenapa jaringan 4g di sembungan bangunjiwo kasihan bantul sudah 3minggu sangat tidak stabil. kuota <PROVIDER_NAME> terbuang;jaring sembung bangunjiwo kasihan bantul minggu stabil kuota buang
95;negative;<PROVIDER_NAME> <PROVIDER_NAME> apakah setelah mendapat banyak customer sekarang 4G di Sembungan Bangunjiwo Jogja jadi gak stabil?;customer sembung bangunjiwo jogja stabil
96;negative;Sinyal macam apa ini? Ping game aja segede itu. Sinyalnya seperti tai. <PROVIDER_NAME> ;sinyal ping game gede sinyal
97;positive;lebih baik <PROVIDER_NAME> ;
98;negative;Malas banget yang 12Gb jadi 6Gb <PROVIDER_NAME> masalahnya harga sama mahalnya - jaringannya sama dan free YouTubenya gak terpakai jamnya hadeh;malas banget harga mahal jaring free youtubenya pakai jam hadeh
99;positive;Yang gratisan memang menyenangkan <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME> #kuotagratis <URL> ;gratis senang
100;positive;Pindah provider saja kali ya buat internetan #kuning lemot... Dengar dari teman si #biru lebih bagus <PROVIDER_NAME> <PROVIDER_NAME>;pindah provider kali internetan lot dengar teman bagus
101;negative;tolong lakukan reset di nomor saya  Jaringan lemah, memakan waktu lama untuk open page web #LEMOT #JARINGAN #LTE <PROVIDER_NAME> <PROVIDER_NAME>;tolong laku reset nomor jaring lemah makan open page
102;positive;<PROVIDER_NAME> <PROVIDER_NAME> yg semakin kekinian bikin keki.;kini bikin keki
103;positive;kecepatan internet di ciwidey segini...  mantap <PROVIDER_NAME> #4glte <USER_MENTION> <URL> …;cepat internet ciwidey gin mantap
104;negative;Jaringan 4g <PROVIDER_NAME> di cimahi kenapa yah,  kok lambat ?, sudah 4 hari ini.  Tapi kalo di kota bandung lancar jaya.. ;jaring cimahi lambat kalo kota bandung lancar jaya
105;negative;<PROVIDER_NAME> parah, cuma bisa di 3G <PROVIDER_NAME> <PROVIDER_NAME>;parah
106;negative;<PROVIDER_NAME> Koneksi 4G rasa GPRS <PROVIDER_NAME> ;koneksi gprs
107;negative;Kapan nih akses data di kecamatan cisewu kabupaten garut bisa 4G;akses data camat cisewu kabupaten garut
108;negative;<PROVIDER_NAME> <PROVIDER_NAME>4GLTE <PROVIDER_NAME> #BOGOR #AREA  <URL> … UDAH 3 BULAN TIDAK ADA TANGGAPAN YG JELAS ;glte udah tanggap
109;negative;tidak direkomendasikan, baru coba paket <PROVIDER_NAME> mingguan, tes pakai twitter 30menit pulsa terus berkurang, langsung unreg. <PROVIDER_NAME>;rekomendasi coba paket minggu pakai twitter menit pulsa kurang langsung unreg
110;positive;Nonton gratis dibayarin <PROVIDER_NAME> poin  <PROVIDER_NAME> <PROVIDER_NAME>poin ;nonton gratis dibayarin poin poin
111;positive;Belum lama pakai <PROVIDER_NAME>, alhamdulillah selalu bermanfaat sinyalnya. #gsm #handphone <PROVIDER_NAME> #Simpati;pakai alhamdulillah manfaat sinyal
112;positive;Terimakasih <PROVIDER_NAME> <URL> ;terimakasih
113;positive;Makin mantap saja si <PROVIDER_NAME>. Sekali SMS tarifnya 300. ;mantap tarif
114;positive;alhamdulillah sudah beres pakai <PROVIDER_NAME> <PROVIDER_NAME>, daripada nunggu konfirmasi <PROVIDER_NAME> yg gak akan pernah datang. #janji… <URL>;alhamdulillah beres pakai nunggu konfirmasi
115;positive;<PROVIDER_NAME> terimakasih <PROVIDER_NAME> akhirnya menang <PRODUCT_NAME> dari <PROVIDER_NAME>  #<PRODUCT_NAME> <PROVIDER_NAME> ;terimakasih menang
116;positive;Asik juga kencang begini <PROVIDER_NAME> ;asik kencang
117;positive;Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>;terimakasih gratis gnya buru upgrade
118;positive;Upload video 1GB kurang dari 4 menit, memang mantab ini kecepatan <PROVIDER_NAME>;upload video menit mantab cepat
119;positive;Dapat bonus kuota 2GB dan 100 menit nelpon ke semua operator dari <PROVIDER_NAME>  <PROVIDER_NAME> <PRODUCT_NAME> <URL> ;bonus kuota menit nelpon operator
120;positive;Kuota masih AMAN <PROVIDER_NAME> #capture #kuotaaman Di Kota Mamuju <URL> ;kuota aman kota mamuju
121;positive;Masih ada yang hemat <PROVIDER_NAME>;hemat
122;positive;Pakai paket <PRODUCT_NAME> <PROVIDER_NAME> irit.  <PROVIDER_NAME> <PROVIDER_NAME> <URL> ;pakai paket irit
123;positive;dibuang sayang karena terlalu setia, lagipula nomernya bagus  <PROVIDER_NAME> <PROVIDER_NAME> <URL> ;buang sayang setia lagipula nomernya bagus
124;positive;Baru merasakan segitu besarnya ping.. 36604 ribu lumayanlah buat bukber <PROVIDER_NAME> <PROVIDER_NAME>;rasa segitu besar ping ribu lumayan bukber
125;positive;Itu yang pada nulis disertai hashtag <PROVIDER_NAME>Lemot hidupnya dimana sih? Saya di Ungaran sini kok pakai <PROVIDER_NAME> lancar2 aja tuh.;nulis serta hashtag lot hidup mana ungar pakai lancar
126;positive;Makanya pakai <PROVIDER_NAME> 60 ribu dapet 9giga. <PROVIDER_NAME> <PROVIDER_NAME>dihack <PROVIDER_NAME> <PROVIDER_NAME>mahal;pakai ribu dapet giga dihack mahal
127;positive;mending pindah ke <PROVIDER_NAME> aja <PROVIDER_NAME>;mending pindah
128;positive;Saya pakai <PRODUCT_NAME> <PROVIDER_NAME> <PROVIDER_NAME> karena jelas, terjangkau .. pake <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME> gak jelas, mahal;pakai jangkau pake mahal
129;positive;Siapa yang mau ditelpon, mumpung ada gratisan nih ...  <PROVIDER_NAME>;telpon mumpung gratis
130;positive;Tumben <PROVIDER_NAME> murah hati padaKu #onlyForU Jangan2 semua pelanggan diginikan.;tumben murah hati pada langgan diginikan
131;positive;Canggih nih, nambah hari malah nambah kuotanya . #kuota <PROVIDER_NAME> <PRODUCT_NAME> #4g <URL> ;canggih nambah nambah kuota
132;positive;<PROVIDER_NAME> PENUH DENGAN BONUS <PROVIDER_NAME> ;penuh bonus
133;positive;Sinyal <PROVIDER_NAME> hebat, sampai puncak Halimun masih tetap on, mantap ;sinyal hebat puncak halimun mantap
134;positive;Nelpon 1.000 Dapat kouta 1gb;nelpon kouta
135;positive;Makin betah aja sama kamu..  :v   #operator  :v <PROVIDER_NAME> ;betah
136;positive;lumayan ini murah meriah <PROVIDER_NAME> ;lumayan murah riah
137;positive;WOW, Saya baru mendapatkan hadiah fantastis dari <PRODUCT_NAME>! <PRODUCT_NAME> membuat semuanya jadi simpel <URL>  <PROVIDER_NAME>;hadiah fantastis simpel
138;positive;Cuma Modal Isi Pulsa 10ribu dapet 2GB Gratis dari <PROVIDER_NAME> :v Tumben Lagi baik, semoga Promonya makin murah murah <PROVIDER_NAME> :D . . <PROVIDER_NAME>;modal pulsa ribu dapet gratis tumben moga promonya murah murah
139;positive;Ajaib min <PROVIDER_NAME> kartu saya bisa diisi pulsa & digunakan kembali.. terimakasih ya <PROVIDER_NAME>;ajaib kartu isi pulsa terimakasih
140;positive;Mantap deh <PROVIDER_NAME>. Cuma isi pulsa 25ribu dapat bonus paket data 3GB. Terimakasih juga <PROVIDER_NAME> atas pelayanannya. <PROVIDER_NAME> #mantapjiwa;mantap pulsa ribu bonus paket data terimakasih layan
141;positive;terimakasih paket data sudah aktif  dan normal. terimakasih <PROVIDER_NAME> cukup puas dengan pelayanannya. <PROVIDER_NAME> <PROVIDER_NAME>;terimakasih paket data aktif normal terimakasih puas layan
142;positive;banyak Perusahaan melupakan hal ini & banyak konsumen menghapus pesan tanpa membacanya menyalahkan padahal sudah diingatkan thanks <PROVIDER_NAME> ;usaha lupa konsumen hapus pesan baca salah thanks
143;positive;Terima kasih <PROVIDER_NAME> !! <PROVIDER_NAME>;terima kasih
144;positive;Hore....<PROVIDER_NAME> Ada sinyal.....thanks <PROVIDER_NAME> .... <PROVIDER_NAME> ;hore sinyalthanks
145;positive;Alhamdulillah sambil nunggu subuh bisa melihat lantunan Adhan Styles dari Mekah dan Madinah dengan jelas karena paket Internet <PROVIDER_NAME> saya bagus;alhamdulillah nunggu subuh lantun adhan style mekah madinah paket internet bagus
146;positive;Dengan <PROVIDER_NAME> juga bisa lihat youtube selama setahun tanpa kuota, makin keren aja. ;lihat youtube tahun kuota keren
147;positive;Dengan jaringan 4G super cepat dari <PROVIDER_NAME> smartphone kamu terus terkoneksi dan bisa pantau aktivitas di sosial media :;jaring super cepat smartphone koneksi pantau aktivitas sosial medium
148;positive;Menggunakan medsos harus sebijak mungkin. Apalagi ada fasilitas makin oke kayak FB gratis 30MB & free YouTube/Yonder/Genflix dari <PROVIDER_NAME>;medsos bijak fasilitas kayak gratis free youtubeyondergenflix
149;positive;pagi itu, menyegarkan mata selain lari2 kecil, bisa juga dengan nikmatin internet, atau nelpon yang super murah, suara jernih pake <PROVIDER_NAME>. gitu!;pagi segar mata lari nikmatin internet nelpon super murah suara jernih pake gitu
150;positive;Buka puasa sambil streaming di YouTube lancar banget pake <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.;buka puasa streaming youtube lancar banget pake setia
151;positive;Selain jaringan 4G <PROVIDER_NAME> yang sangat luas temanku juga bisa nelpon ke operator lain secara gratis & suaranya juga jernih banget;jaring luas teman nelpon operator gratis suara jernih banget
152;positive;Koneksi internet <PROVIDER_NAME> yg lancar sangat  membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.;koneksi internet lancar bantu selesai pekerjaaan jumat weekend
153;negative;ayo penuhi viralkan keras #Boikot<PROVIDER_NAME>! Nomor sy nomer <PROVIDER_NAME> cantik dr th2007 lgsg sy buang!Jgn main2 dg umat Islam yg brsatu;penuh viralkan kera nomor nomer cantik lgsg buangjgn main umat islam brsatu
154;negative;AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212 <URL>;buang kartu
155;negative;Selama ini saya pake <PROVIDER_NAME>, Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot<PROVIDER_NAME>;pake insya allah paket kuota habis ganti operator
156;negative;CEO <PROVIDER_NAME> harus bertanggung jawab. Sudah ada counter perdana HP berhenti jual perdana <PROVIDER_NAME> #Boikot<PROVIDER_NAME>;tanggung counter perdana henti jual perdana
157;negative;Biar jadi pelajaran buat yang lain... Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! #Boikot<PROVIDER_NAME>;biar ajar pakai produk
158;negative;kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering nyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa;boikot nyedot pulsa dipake bayar bonus maksa
159;positive;Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL>;lumayan jaring glte area tarogong muas
160;negative;Uji kecepatan <PRODUCT_NAME> #opensignal-ku di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek;cepat jelek
161;negative;Tolong di urus segera saya ga mau bayar data yang saya ga dapet datanya <PROVIDER_NAME> <PROVIDER_NAME>;tolong urus bayar data dapet data
162;positive;Nonton gratis dibayarin <PROVIDER_NAME> poin  <PROVIDER_NAME> <PROVIDER_NAME>poin #passengers…;nonton gratis dibayarin poin poin
163;positive;Makasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME> mu;makasih gratis gnya buru upgrade
164;positive;Makan malam gratis hari ini hasil tuker <PROVIDER_NAME> Poin  #7eleven #sevel <PROVIDER_NAME>… <URL>;makan malam gratis hasil tuker poin
165;negative;Mohon di up jaringan 4G di wilayah Morowali, sangat buruk..  <PROVIDER_NAME> <PROVIDER_NAME>;mohon jaring wilayah morowali buruk
166;negative;Jaringan <PROVIDER_NAME> di Waru Atas arae Site WKP tidak dapat digunakan untuk telpon mohon cek Team <PROVIDER_NAME> ;jaring waru arae site telpon mohon team
167;negative;Semakin hari kualitas dan pelayanannya semakin buruk. Selama 5 bulan melakukan pelaporan namun tidak ada tindakan perbaikan. <PROVIDER_NAME>;kualitas layan buruk lapor tindak baik
168;negative;<PROVIDER_NAME> tolong jaringan di MUARA KAMAN diperbaiki... BBM aja ga bisa ngakses...menyambungkan melulu... sudah 3 minggu lebih;tolong jaring muara kam baik ngaksesmenyambungkan melulu minggu
169;negative;Uji kecepatan NYATA  di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek;cepat nyata jelek
170;negative;Tolong diurus segera saya ga mau bayar data yang saya ga dapat datanya <PROVIDER_NAME> <PROVIDER_NAME>;tolong urus bayar data data
171;positive;Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL> ;lumayan jaring glte area tarogong muas
172;positive;Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>;terimakasih gratis gnya buru upgrade
173;positive;Makan malam gratis hari ini hasil tukar <PROVIDER_NAME> Poin   <PROVIDER_NAME>… <URL>;makan malam gratis hasil tukar poin
174;negative;ayo viralkan keras #Boikot<PROVIDER_NAME>! Nomor saya nomer <PROVIDER_NAME> cantik dari tahun 2007 saya buang! Jangan main2 dengan umat Islam yang brsatu;viralkan kera nomor nomer cantik buang main umat islam brsatu
175;negative;AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212 ;buang kartu
